File Name, Number of Robots, Number of Rounds, Algorithm, Graph Type, Link Density, Distribution, Seed, Final Cumulative Signal Strength
R10H30T6DnormalS9A0,10,30,MPGM,random,2.0,normal,59237,64240.0
R10H30T7DnormalS9A0,10,30,MPGM,random,3.0,normal,59237,95025.0
R10H40T0DnormalS7A0,10,40,MPGM,chain,null,normal,5312,41775.0
R10H40T0DnormalS2A0,10,40,MPGM,chain,null,normal,5680,39948.0
R10H40T0DnormalS6A0,10,40,MPGM,chain,null,normal,6325,41348.0
R10H40T0DnormalS3A0,10,40,MPGM,chain,null,normal,28060,41211.0
R10H40T0DnormalS1A0,10,40,MPGM,chain,null,normal,30125,40993.0
R10H40T0DnormalS4A0,10,40,MPGM,chain,null,normal,33626,42189.0
R10H40T0DnormalS5A0,10,40,MPGM,chain,null,normal,34445,42330.0
R10H40T0DnormalS0A0,10,40,MPGM,chain,null,normal,36223,41188.0
R10H40T0DnormalS8A0,10,40,MPGM,chain,null,normal,37611,40808.0
R10H40T0DnormalS9A0,10,40,MPGM,chain,null,normal,59237,40625.0
R10H40T9DnormalS7A0,10,40,MPGM,full,null,normal,5312,196827.0
R10H40T9DnormalS2A0,10,40,MPGM,full,null,normal,5680,195687.0
R10H40T9DnormalS6A0,10,40,MPGM,full,null,normal,6325,199173.0
R10H40T9DnormalS3A0,10,40,MPGM,full,null,normal,28060,197680.0
R10H40T9DnormalS1A0,10,40,MPGM,full,null,normal,30125,195137.0
R10H40T9DnormalS4A0,10,40,MPGM,full,null,normal,33626,198917.0
R10H40T9DnormalS5A0,10,40,MPGM,full,null,normal,34445,198523.0
R10H40T9DnormalS0A0,10,40,MPGM,full,null,normal,36223,198374.0
R10H40T9DnormalS8A0,10,40,MPGM,full,null,normal,37611,196754.0
R10H40T9DnormalS9A0,10,40,MPGM,full,null,normal,59237,195427.0
R10H40T8DnormalS7A0,10,40,MPGM,random,6.0,normal,5312,0.0
R10H40T1DnormalS7A0,10,40,MPGM,random,0.5,normal,5312,38819.0
R10H40T2DnormalS7A0,10,40,MPGM,random,0.8,normal,5312,38819.0
R10H40T3DnormalS7A0,10,40,MPGM,random,1.0,normal,5312,41620.0
R10H40T4DnormalS7A0,10,40,MPGM,random,1.2,normal,5312,51691.0
R10H40T5DnormalS7A0,10,40,MPGM,random,1.5,normal,5312,64892.0
R10H40T6DnormalS7A0,10,40,MPGM,random,2.0,normal,5312,84200.0
R10H40T7DnormalS7A0,10,40,MPGM,random,3.0,normal,5312,122626.0
R10H40T8DnormalS2A0,10,40,MPGM,random,6.0,normal,5680,0.0
R10H40T1DnormalS2A0,10,40,MPGM,random,0.5,normal,5680,41142.0
R10H40T2DnormalS2A0,10,40,MPGM,random,0.8,normal,5680,41142.0
R10H40T3DnormalS2A0,10,40,MPGM,random,1.0,normal,5680,41142.0
R10H40T4DnormalS2A0,10,40,MPGM,random,1.2,normal,5680,49685.0
R10H40T5DnormalS2A0,10,40,MPGM,random,1.5,normal,5680,60780.0
R10H40T6DnormalS2A0,10,40,MPGM,random,2.0,normal,5680,80160.0
R10H40T7DnormalS2A0,10,40,MPGM,random,3.0,normal,5680,121994.0
R10H40T8DnormalS6A0,10,40,MPGM,random,6.0,normal,6325,0.0
